,test_id,kcid,lmc_prior_code,lengthscale_prior_code,time_to_converge,iterations_to_converge
0,0.0,10.0,2.0,1.0,98.373302,974.0
0,3.0,10.0,2.0,1.0,32.761198,907.0
0,0.0,10.0,2.0,1.0,99.994373,987.0
0,3.0,10.0,2.0,1.0,33.969172,941.0
0,0.0,10.0,2.0,1.0,99.440693,987.0
0,3.0,10.0,2.0,1.0,23.668609,658.0
0,0.0,10.0,2.0,1.0,88.294383,872.0
0,3.0,10.0,2.0,1.0,26.23054,726.0
0,0.0,10.0,2.0,1.0,99.422281,974.0
0,3.0,10.0,2.0,1.0,24.627615,676.0
0,0.0,10.0,2.0,1.0,87.942262,872.0
0,3.0,10.0,2.0,1.0,32.754088,917.0
0,0.0,10.0,2.0,1.0,98.907227,974.0
0,3.0,10.0,2.0,1.0,30.65389,846.0
0,0.0,10.0,2.0,1.0,82.422518,814.0
0,3.0,10.0,2.0,1.0,22.562997,619.0
0,0.0,10.0,2.0,1.0,81.876611,814.0
0,3.0,10.0,2.0,1.0,28.748116,782.0
0,0.0,10.0,2.0,1.0,98.360726,970.0
0,3.0,10.0,2.0,1.0,32.609505,898.0
0,0.0,11.0,2.0,1.0,107.567177,987.0
0,3.0,11.0,2.0,1.0,32.437,846.0
0,0.0,11.0,2.0,1.0,109.083862,974.0
0,3.0,11.0,2.0,1.0,32.230019,815.0
0,0.0,11.0,2.0,1.0,113.310449,974.0
0,3.0,11.0,2.0,1.0,34.633924,846.0
0,0.0,11.0,2.0,1.0,104.022602,913.0
0,3.0,11.0,2.0,1.0,33.630895,815.0
0,0.0,11.0,2.0,1.0,76.810103,674.0
0,3.0,11.0,2.0,1.0,35.264717,917.0
0,0.0,11.0,2.0,1.0,89.35577,814.0
0,3.0,11.0,2.0,1.0,32.339105,846.0
0,0.0,11.0,2.0,1.0,107.118874,974.0
0,3.0,11.0,2.0,1.0,34.729221,912.0
0,0.0,11.0,2.0,1.0,113.248963,987.0
0,3.0,11.0,2.0,1.0,32.602084,811.0
0,0.0,11.0,2.0,1.0,137.965467,1228.0
0,3.0,11.0,2.0,1.0,31.103393,787.0
0,0.0,11.0,2.0,1.0,111.993471,987.0
0,3.0,11.0,2.0,1.0,32.857915,815.0
0,0.0,12.0,2.0,1.0,22.633539,186.0
0,3.0,12.0,2.0,1.0,35.50954,918.0
0,0.0,12.0,2.0,1.0,105.813137,987.0
0,3.0,12.0,2.0,1.0,32.049011,846.0
0,0.0,12.0,2.0,1.0,105.585156,987.0
0,3.0,12.0,2.0,1.0,27.587402,726.0
0,0.0,12.0,2.0,1.0,113.062407,1058.0
0,3.0,12.0,2.0,1.0,33.745862,880.0
0,0.0,12.0,2.0,1.0,109.118266,987.0
0,3.0,12.0,2.0,1.0,31.173048,815.0
0,0.0,12.0,2.0,1.0,101.102803,934.0
0,3.0,12.0,2.0,1.0,29.263145,766.0
0,0.0,12.0,2.0,1.0,104.736899,974.0
0,3.0,12.0,2.0,1.0,30.121307,788.0
0,0.0,12.0,2.0,1.0,105.005171,996.0
0,3.0,12.0,2.0,1.0,24.895299,658.0
0,0.0,12.0,2.0,1.0,89.355037,829.0
0,3.0,12.0,2.0,1.0,29.983416,787.0
0,0.0,12.0,2.0,1.0,104.307986,974.0
0,3.0,12.0,2.0,1.0,30.167878,787.0
0,0.0,13.0,2.0,1.0,140.675493,934.0
0,3.0,13.0,2.0,1.0,40.261049,815.0
0,0.0,13.0,2.0,1.0,168.535812,1111.0
0,3.0,13.0,2.0,1.0,41.024614,833.0
0,0.0,13.0,2.0,1.0,98.750438,648.0
0,3.0,13.0,2.0,1.0,45.582593,917.0
0,0.0,13.0,2.0,1.0,147.253859,977.0
0,3.0,13.0,2.0,1.0,45.681564,917.0
0,0.0,13.0,2.0,1.0,44.521578,278.0
0,3.0,13.0,2.0,1.0,45.938498,917.0
0,0.0,13.0,2.0,1.0,152.985336,977.0
0,3.0,13.0,2.0,1.0,40.716443,795.0
0,0.0,13.0,2.0,1.0,154.735637,987.0
0,3.0,13.0,2.0,1.0,45.374092,897.0
0,0.0,13.0,2.0,1.0,140.275556,917.0
0,3.0,13.0,2.0,1.0,46.365224,939.0
0,0.0,13.0,2.0,1.0,148.907082,974.0
0,3.0,13.0,2.0,1.0,39.232524,782.0
0,0.0,13.0,2.0,1.0,151.148426,987.0
0,3.0,13.0,2.0,1.0,39.645645,726.0
0,0.0,14.0,2.0,1.0,125.754499,872.0
0,3.0,14.0,2.0,1.0,31.299282,673.0
0,0.0,14.0,2.0,1.0,127.081343,913.0
0,3.0,14.0,2.0,1.0,32.809448,707.0
0,0.0,14.0,2.0,1.0,138.901134,987.0
0,3.0,14.0,2.0,1.0,46.512097,964.0
0,0.0,14.0,2.0,1.0,140.957184,977.0
0,3.0,14.0,2.0,1.0,40.5806,788.0
0,0.0,14.0,2.0,1.0,139.871779,977.0
0,3.0,14.0,2.0,1.0,39.578481,815.0
